"","a","b","c"
"ely_table",-0.00028719369505522,0.0181239116479495,-0.188355081225713
"pas_table",-0.000382805511345845,0.0235504824595244,-0.231757600625834
"scz_table",-0.000108698229706314,0.00741180731096352,-0.0770005096113598
"sor_table",-0.000115967837283953,0.00858879670242927,-0.103021577758505
